site_id,site_slug,site_name,device_id,device_name,role_name,role_slug,model,model_slug,manufacturer,status,url
178,aguascalientes,Aguascalientes,34567,MXSCAGACAM001-1,Access Cameras,access-cameras,ICX7150-48PF,icx7150-48pf,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/34567/
178,aguascalientes,Aguascalientes,9362,MXSCAGCCAM001-1,Core Cameras,core-cameras,ICX7450-48P,icx7450-48p,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/9362/
468,airhub-cuiaba,Airhub Cuiaba,19390,BRMACUCRP001-1,Core Switch,core-switch,ICX7150-48-POEF,icx7150-48-poef,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/19390/
468,airhub-cuiaba,Airhub Cuiaba,19408,BRMACUCRP001-2,Core Switch,core-switch,ICX7150-48-POEF,icx7150-48-poef,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/19408/
445,airhub-joao-pessoa,Airhub Joao Pessoa,561596,BRMAJPCCAM001-1,Core Cameras,core-cameras,ICX7150-24-POE,icx7150-24-poe,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/561596/
445,airhub-joao-pessoa,Airhub Joao Pessoa,479768,BRMAJPCRP001-1,Core Switch,core-switch,ICX7150-24-POE,icx7150-24-poe,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/479768/
445,airhub-joao-pessoa,Airhub Joao Pessoa,479769,BRMAJPCRP001-2,Core Switch,core-switch,ICX7150-24-POE,icx7150-24-poe,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/479769/
405,airhub-porto-alegre,Airhub Porto Alegre,38920,BRMAPAACAM001-1,Access Cameras,access-cameras,ICX7150-24-POE,icx7150-24-poe,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/38920/
405,airhub-porto-alegre,Airhub Porto Alegre,10486,BRMAPAACP001-1,Access Switch,access-switch,ICX7150-C08-POE,icx7150-c08-poe,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/10486/
405,airhub-porto-alegre,Airhub Porto Alegre,38918,BRMAPACCAM001-1,Core Cameras,core-cameras,ICX7150-48-POEF,icx7150-48-poef,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/38918/
199,airhub-queretaro,Airhub Queretaro,9374,MXMAQRACAM001-1,Access Cameras,access-cameras,ICX7450-48P,icx7450-48p,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/9374/
199,airhub-queretaro,Airhub Queretaro,9373,MXMAQRCCAM001-1,Core Cameras,core-cameras,ICX7450-48P,icx7450-48p,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/9373/
427,airhub-recife,Airhub Recife,34542,BRMARFCRP001-1,Core Switch,core-switch,ICX7150-24-POE,icx7150-24-poe,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/34542/
427,airhub-recife,Airhub Recife,34538,BRMARFCRP001-2,Core Switch,core-switch,ICX7150-24-POE,icx7150-24-poe,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/34538/
467,airhub-salvador,Airhub Salvador,19406,BRMABACCAM001-1,Core Cameras,core-cameras,ICX7150-48-POEF,icx7150-48-poef,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/19406/
467,airhub-salvador,Airhub Salvador,38934,BRMABACRP001-1,Core Switch,core-switch,ICX7150-48-POEF,icx7150-48-poef,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/38934/
467,airhub-salvador,Airhub Salvador,38935,BRMABACRP001-2,Core Switch,core-switch,ICX7150-48-POEF,icx7150-48-poef,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/38935/
406,airhub-sao-luis,Airhub Sao Luis,347557,BRMASLCRP001-1,Core Switch,core-switch,ICX7150-48-POEF,icx7150-48-poef,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/347557/
406,airhub-sao-luis,Airhub Sao Luis,347558,BRMASLCRP001-2,Core Switch,core-switch,ICX7150-48PF,icx7150-48pf,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/347558/
414,airhub-teresina,Airhub Teresina,34212,BRMATECRP001-1,Core Switch,core-switch,ICX7150-24-POE,icx7150-24-poe,Ruckus,Em Descomissionamento,http://netbox.adminml.com/dcim/devices/34212/
414,airhub-teresina,Airhub Teresina,34213,BRMATECRP001-2,Core Switch,core-switch,ICX7150-24-POE,icx7150-24-poe,Ruckus,Offline,http://netbox.adminml.com/dcim/devices/34213/
489,airhub-vitoria,Airhub Vitoria,9398,BRMAVICCAM001-1,Core Cameras,core-cameras,ICX7150-48-POEF,icx7150-48-poef,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/9398/
489,airhub-vitoria,Airhub Vitoria,144071,BRMAVICRP001-1,Core Switch,core-switch,ICX7150-24-POE,icx7150-24-poe,Ruckus,Ativo,http://netbox.adminml.com/dcim/devices/144071/
